Date,Open,High,Low,Close
15-Jun-18,-,-,-,5205.77
14-Jun-18,-,-,-,5212.95
13-Jun-18,-,-,-,5229.01
12-Jun-18,-,-,-,5229.23
11-Jun-18,-,-,-,5199.03
08-Jun-18,-,-,-,5189.05
07-Jun-18,-,-,-,5179.74
06-Jun-18,-,-,-,5125.1
05-Jun-18,-,-,-,5070.92
04-Jun-18,-,-,-,5111.19
01-Jun-18,-,-,-,5157.92
31-May-18,-,-,-,5192.72
30-May-18,-,-,-,5161.14
29-May-18,-,-,-,5170.15
28-May-18,-,-,-,5190.62
25-May-18,-,-,-,5138.71
24-May-18,-,-,-,5083.71
23-May-18,-,-,-,5059.36
22-May-18,-,-,-,5101.07
21-May-18,-,-,-,5079.85
18-May-18,-,-,-,5137.49
17-May-18,-,-,-,5190.97
16-May-18,-,-,-,5203.15
15-May-18,-,-,-,5223.86
14-May-18,-,-,-,5237.42
11-May-18,-,-,-,5253.3
10-May-18,-,-,-,5223.16
09-May-18,-,-,-,5256.32
08-May-18,-,-,-,5256.85
07-May-18,-,-,-,5256.71
04-May-18,-,-,-,5213.81
03-May-18,-,-,-,5240.31
02-May-18,-,-,-,5272.13
30-Apr-18,-,-,-,5301.82
27-Apr-18,-,-,-,5272.54
26-Apr-18,-,-,-,5238.62
25-Apr-18,-,-,-,5222.12
24-Apr-18,-,-,-,5245.39
23-Apr-18,-,-,-,5236
20-Apr-18,-,-,-,5220.6
19-Apr-18,-,-,-,5224.87
18-Apr-18,-,-,-,5200.01
17-Apr-18,-,-,-,5210.49
16-Apr-18,-,-,-,5199.94
13-Apr-18,-,-,-,5176.17
12-Apr-18,-,-,-,5164.9
11-Apr-18,-,-,-,5156.37
10-Apr-18,-,-,-,5150.45
09-Apr-18,-,-,-,5142.72
06-Apr-18,-,-,-,5123.47
05-Apr-18,-,-,-,5108.82
04-Apr-18,-,-,-,5013.61
03-Apr-18,-,-,-,5068.41
02-Apr-18,-,-,-,5038.2
28-Mar-18,-,-,-,4973.04
27-Mar-18,-,-,-,5010.1
26-Mar-18,-,-,-,4973.17
23-Mar-18,-,-,-,4911.21
22-Mar-18,-,-,-,4969.81
21-Mar-18,-,-,-,4996.34
20-Mar-18,-,-,-,4980.23
19-Mar-18,-,-,-,4967.35
16-Mar-18,-,-,-,5029.75
15-Mar-18,-,-,-,5100.63
14-Mar-18,-,-,-,5108.29
13-Mar-18,-,-,-,5111.56
12-Mar-18,-,-,-,5090.12
09-Mar-18,-,-,-,5015.85
08-Mar-18,-,-,-,5024.62
07-Mar-18,-,-,-,4990.04
06-Mar-18,-,-,-,5049.54
05-Mar-18,-,-,-,5103.56
01-Mar-18,-,-,-,5154.41
28-Feb-18,-,-,-,5174.31
27-Feb-18,-,-,-,5195.91
26-Feb-18,-,-,-,5212.51
23-Feb-18,-,-,-,5167.26
22-Feb-18,-,-,-,5103.93
21-Feb-18,-,-,-,5120.78
20-Feb-18,-,-,-,5112.37
19-Feb-18,-,-,-,5117.67
16-Feb-18,-,-,-,5160.44
15-Feb-18,-,-,-,5210.48
14-Feb-18,-,-,-,5214.74
12-Feb-18,-,-,-,5226.6
09-Feb-18,-,-,-,5170.54
08-Feb-18,-,-,-,5208.97
07-Feb-18,-,-,-,5141.66
06-Feb-18,-,-,-,5129.23
05-Feb-18,-,-,-,5216.48
02-Feb-18,-,-,-,5252.45
01-Feb-18,-,-,-,5410.08
31-Jan-18,-,-,-,5416.38
30-Jan-18,-,-,-,5442.44
29-Jan-18,-,-,-,5486.2
25-Jan-18,-,-,-,5482.49
24-Jan-18,-,-,-,5506.87
23-Jan-18,-,-,-,5521.32
22-Jan-18,-,-,-,5472.27
19-Jan-18,-,-,-,5435.52
18-Jan-18,-,-,-,5393.24
17-Jan-18,-,-,-,5418.84
16-Jan-18,-,-,-,5378.87
15-Jan-18,-,-,-,5430.7
12-Jan-18,-,-,-,5410.8
11-Jan-18,-,-,-,5402.75
10-Jan-18,-,-,-,5391.02
09-Jan-18,-,-,-,5396.64
08-Jan-18,-,-,-,5396.03
05-Jan-18,-,-,-,5357.88
04-Jan-18,-,-,-,5319.7
03-Jan-18,-,-,-,5282.05
02-Jan-18,-,-,-,5267.34
01-Jan-18,-,-,-,5276.36
29-Dec-17,-,-,-,5306.64
28-Dec-17,-,-,-,5275.82
27-Dec-17,-,-,-,5276.69
26-Dec-17,-,-,-,5295.03
22-Dec-17,-,-,-,5272.56
21-Dec-17,-,-,-,5247.56
20-Dec-17,-,-,-,5232.79
19-Dec-17,-,-,-,5229.8
18-Dec-17,-,-,-,5178.72
15-Dec-17,-,-,-,5148.73
14-Dec-17,-,-,-,5101.99
13-Dec-17,-,-,-,5085.27
12-Dec-17,-,-,-,5116.45
11-Dec-17,-,-,-,5158.2
08-Dec-17,-,-,-,5135.28
07-Dec-17,-,-,-,5086.14
06-Dec-17,-,-,-,5021.62
05-Dec-17,-,-,-,5059.69
04-Dec-17,-,-,-,5061.21
01-Dec-17,-,-,-,5062.51
30-Nov-17,-,-,-,5114.79
29-Nov-17,-,-,-,5163.99
28-Nov-17,-,-,-,5169.17
27-Nov-17,-,-,-,5175.67
24-Nov-17,-,-,-,5163.04
23-Nov-17,-,-,-,5141.66
22-Nov-17,-,-,-,5134.12
21-Nov-17,-,-,-,5127.96
20-Nov-17,-,-,-,5114.74
17-Nov-17,-,-,-,5099.98
16-Nov-17,-,-,-,5059.7
15-Nov-17,-,-,-,5008.25
14-Nov-17,-,-,-,5053.38
13-Nov-17,-,-,-,5069.69
10-Nov-17,-,-,-,5109.97
09-Nov-17,-,-,-,5106.71
08-Nov-17,-,-,-,5089.01
07-Nov-17,-,-,-,5119.01
06-Nov-17,-,-,-,5177.31
03-Nov-17,-,-,-,5169.35
02-Nov-17,-,-,-,5156.33
01-Nov-17,-,-,-,5154.25
31-Oct-17,-,-,-,5109.69
30-Oct-17,-,-,-,5114.8
27-Oct-17,-,-,-,5080.26
26-Oct-17,-,-,-,5080.76
25-Oct-17,-,-,-,5057.15
24-Oct-17,-,-,-,5018.79
23-Oct-17,-,-,-,5006.62
19-Oct-17,-,-,-,4987
18-Oct-17,-,-,-,5012.21
17-Oct-17,-,-,-,5021.58
16-Oct-17,-,-,-,5012.17
13-Oct-17,-,-,-,4986.14
12-Oct-17,-,-,-,4960.69
11-Oct-17,-,-,-,4906.1
10-Oct-17,-,-,-,4931.7
09-Oct-17,-,-,-,4909.86
06-Oct-17,-,-,-,4902.54
05-Oct-17,-,-,-,4856.97
04-Oct-17,-,-,-,4855.63
03-Oct-17,-,-,-,4829.64
29-Sep-17,-,-,-,4794.61
28-Sep-17,-,-,-,4770.07
27-Sep-17,-,-,-,4749.03
26-Sep-17,-,-,-,4824.44
25-Sep-17,-,-,-,4813.63
22-Sep-17,-,-,-,4870.76
21-Sep-17,-,-,-,4969.14
20-Sep-17,-,-,-,4984.78
19-Sep-17,-,-,-,4991.68
18-Sep-17,-,-,-,4988.64
15-Sep-17,-,-,-,4954.79
14-Sep-17,-,-,-,4953.16
13-Sep-17,-,-,-,4942.36
12-Sep-17,-,-,-,4956.15
11-Sep-17,-,-,-,4911.82
08-Sep-17,-,-,-,4877.75
07-Sep-17,-,-,-,4881.84
06-Sep-17,-,-,-,4867.45
05-Sep-17,-,-,-,4874.62
04-Sep-17,-,-,-,4847.66
01-Sep-17,-,-,-,4878.12
31-Aug-17,-,-,-,4843.68
30-Aug-17,-,-,-,4824.99
29-Aug-17,-,-,-,4773.49
28-Aug-17,-,-,-,4827.56
24-Aug-17,-,-,-,4791.64
23-Aug-17,-,-,-,4779.66
22-Aug-17,-,-,-,4731.57
21-Aug-17,-,-,-,4737.55
18-Aug-17,-,-,-,4784.22
17-Aug-17,-,-,-,4811.35
16-Aug-17,-,-,-,4806.2
14-Aug-17,-,-,-,4753.22
11-Aug-17,-,-,-,4688.56
10-Aug-17,-,-,-,4727.48
09-Aug-17,-,-,-,4807.65
08-Aug-17,-,-,-,4858.2
07-Aug-17,-,-,-,4903.25
04-Aug-17,-,-,-,4885.48
03-Aug-17,-,-,-,4859.65
02-Aug-17,-,-,-,4892.32
01-Aug-17,-,-,-,4906.45
31-Jul-17,-,-,-,4896.33
28-Jul-17,-,-,-,4871.35
27-Jul-17,-,-,-,4865.11
26-Jul-17,-,-,-,4872.82
25-Jul-17,-,-,-,4851.48
24-Jul-17,-,-,-,4847.65
21-Jul-17,-,-,-,4829.28
20-Jul-17,-,-,-,4813.59
19-Jul-17,-,-,-,4824.13
18-Jul-17,-,-,-,4783.37
17-Jul-17,-,-,-,4821.98
14-Jul-17,-,-,-,4811.71
13-Jul-17,-,-,-,4815.67
12-Jul-17,-,-,-,4782.26
11-Jul-17,-,-,-,4759.68
10-Jul-17,-,-,-,4766.43
07-Jul-17,-,-,-,4723.78
06-Jul-17,-,-,-,4724.32
05-Jul-17,-,-,-,4707.54
04-Jul-17,-,-,-,4683.82
03-Jul-17,-,-,-,4686.42
30-Jun-17,-,-,-,4638.63
29-Jun-17,-,-,-,4621.88
28-Jun-17,-,-,-,4609.1
27-Jun-17,-,-,-,4611.82
23-Jun-17,-,-,-,4651.07
22-Jun-17,-,-,-,4689.99
21-Jun-17,-,-,-,4701.46
20-Jun-17,-,-,-,4706.84
19-Jun-17,-,-,-,4705.93
16-Jun-17,-,-,-,4682.95
15-Jun-17,-,-,-,4676.23
14-Jun-17,-,-,-,4686.72
13-Jun-17,-,-,-,4679.5
12-Jun-17,-,-,-,4679.07
09-Jun-17,-,-,-,4703.37
08-Jun-17,-,-,-,4690.03
07-Jun-17,-,-,-,4690.93
06-Jun-17,-,-,-,4671.42
05-Jun-17,-,-,-,4693.33
02-Jun-17,-,-,-,4676.29
01-Jun-17,-,-,-,4654.49
31-May-17,-,-,-,4644.62
30-May-17,-,-,-,4631.41
29-May-17,-,-,-,4615.4
26-May-17,-,-,-,4634.32
25-May-17,-,-,-,4579.2
24-May-17,-,-,-,4508.16
23-May-17,-,-,-,4538.66
22-May-17,-,-,-,4582.1
19-May-17,-,-,-,4595.66
18-May-17,-,-,-,4607.87
17-May-17,-,-,-,4673.53
16-May-17,-,-,-,4675.14
15-May-17,-,-,-,4649.13
12-May-17,-,-,-,4620.04
11-May-17,-,-,-,4637.95
10-May-17,-,-,-,4632.27
09-May-17,-,-,-,4589.28
08-May-17,-,-,-,4579.38
05-May-17,-,-,-,4560.73
04-May-17,-,-,-,4601.61
03-May-17,-,-,-,4580.4
02-May-17,-,-,-,4582.2
28-Apr-17,-,-,-,4572.81
27-Apr-17,-,-,-,4576.92
26-Apr-17,-,-,-,4581.4
25-Apr-17,-,-,-,4574.9
24-Apr-17,-,-,-,4531.39
21-Apr-17,-,-,-,4487.05
20-Apr-17,-,-,-,4489.85
19-Apr-17,-,-,-,4465.49
18-Apr-17,-,-,-,4455.21
17-Apr-17,-,-,-,4477.64
13-Apr-17,-,-,-,4478.33
12-Apr-17,-,-,-,4496.11
11-Apr-17,-,-,-,4512.33
10-Apr-17,-,-,-,4481.74
07-Apr-17,-,-,-,4477.3
06-Apr-17,-,-,-,4503.16
05-Apr-17,-,-,-,4504.63
03-Apr-17,-,-,-,4479.97
31-Mar-17,-,-,-,4446.5
30-Mar-17,-,-,-,4435.73
29-Mar-17,-,-,-,4417.12
28-Mar-17,-,-,-,4399.14
27-Mar-17,-,-,-,4372.56
24-Mar-17,-,-,-,4394.34
23-Mar-17,-,-,-,4383.37
22-Mar-17,-,-,-,4352.11
21-Mar-17,-,-,-,4395.86
20-Mar-17,-,-,-,4401.43
17-Mar-17,-,-,-,4409.09
16-Mar-17,-,-,-,4406.67
15-Mar-17,-,-,-,4365.59
14-Mar-17,-,-,-,4354.69
10-Mar-17,-,-,-,4286.2
09-Mar-17,-,-,-,4285.9
08-Mar-17,-,-,-,4286.59
07-Mar-17,-,-,-,4300.07
06-Mar-17,-,-,-,4305.78
03-Mar-17,-,-,-,4278.65
02-Mar-17,-,-,-,4276.06
01-Mar-17,-,-,-,4311.59
28-Feb-17,-,-,-,4285.88
27-Feb-17,-,-,-,4283.93
23-Feb-17,-,-,-,4296.62
22-Feb-17,-,-,-,4292.17
21-Feb-17,-,-,-,4294.59
20-Feb-17,-,-,-,4276.06
17-Feb-17,-,-,-,4246.3
16-Feb-17,-,-,-,4224.9
15-Feb-17,-,-,-,4186.72
14-Feb-17,-,-,-,4228.3
13-Feb-17,-,-,-,4240.81
10-Feb-17,-,-,-,4243.9
09-Feb-17,-,-,-,4239.58
08-Feb-17,-,-,-,4234.6
07-Feb-17,-,-,-,4228
06-Feb-17,-,-,-,4241.75
03-Feb-17,-,-,-,4208.87
02-Feb-17,-,-,-,4195.82
01-Feb-17,-,-,-,4178.3
31-Jan-17,-,-,-,4102.53
30-Jan-17,-,-,-,4143.1
27-Jan-17,-,-,-,4144.96
25-Jan-17,-,-,-,4124.53
24-Jan-17,-,-,-,4068.48
23-Jan-17,-,-,-,4028.32
20-Jan-17,-,-,-,4006.09
19-Jan-17,-,-,-,4053.5
